Theta[deg],Phi[deg],dB(NearEPhi),ang_deg(NearEPhi)[deg],dB(NearETheta),ang_deg(NearETheta)[deg]
0,-180,61.8107,31.6155,47.2329,59.3618
5,-180,65.8196,7.43713,47.4494,30.5156
10,-180,64.7997,-13.9757,46.7798,-14.4778
15,-180,62.504,-70.0393,49.8608,-60.8642
20,-180,67.1258,-115.552,53.176,-82.671
25,-180,69.6663,-127.908,54.4227,-96.2234
30,-180,69.1181,-138.131,54.3841,-115.428
35,-180,67.7897,-164.148,55.721,-141.132
40,-180,70.0581,171.446,58.6814,-153.164
45,-180,72.664,173.482,60.9352,-149.505
50,-180,73.6244,-169.36,61.8659,-136.819
55,-180,73.208,-143.351,61.5452,-118.405
60,-180,71.9228,-110.856,60.1234,-95.4027
65,-180,70.2672,-74.4018,57.8038,-67.984
70,-180,68.5049,-37.7906,54.9594,-36.4656
75,-180,66.5768,-4.48321,52.1388,-3.63101
80,-180,64.4017,23.6464,49.5816,23.9671
85,-180,62.1734,45.4718,46.8452,40.4538
90,-180,60.4108,59.5148,43.1466,45.5924
0,-175,61.6514,31.1735,50.3155,50.5948
5,-175,65.6895,7.13427,52.0033,20.8007
10,-175,64.6849,-13.9568,51.3152,-14.112
15,-175,62.2437,-69.5795,52.515,-64.1706
20,-175,66.8422,-116.217,56.0869,-93.7216
25,-175,69.4504,-128.84,57.8685,-107.576
30,-175,68.9504,-138.821,57.7941,-123.058
35,-175,67.5049,-164.191,58.2628,-148.558
40,-175,69.5886,170.177,61.0866,-165.102
45,-175,72.2028,170.853,63.7178,-162.979
50,-175,73.1842,-173.04,65.0586,-149.787
55,-175,72.7612,-148.064,65.1768,-130.053
60,-175,71.431,-116.607,64.3003,-105.616
65,-175,69.7016,-81.0674,62.7055,-77.5382
70,-175,67.869,-45.226,60.7364,-47.5341
75,-175,65.8858,-12.6944,58.6987,-19.2436
80,-175,63.6418,14.7033,56.6361,1.98635
85,-175,61.3109,36.4115,54.3399,10.9623
90,-175,59.4972,51.6721,51.5704,3.58243
0,-170,61.422,30.7112,52.6192,45.8924
5,-170,65.4786,6.94952,54.989,16.906
10,-170,64.5478,-13.4912,54.2645,-13.3195
15,-170,61.8769,-67.3014,54.4106,-64.6125
20,-170,66.3217,-116.155,58.1748,-99.1147
25,-170,69.0945,-129.506,60.3155,-113.02
30,-170,68.7622,-138.909,60.2641,-126.19
35,-170,67.1448,-162.2,60.1109,-150.896
40,-170,68.7389,169.993,62.6778,-171.519
45,-170,71.3741,167.357,65.5495,-171.792
